"GLAXO,3088.0: Weekly Timeframe Breakout Retest"
"COSMOFIRST,998.5: Weekly Timeframe Breakout Retest"
"SUBROS,827.4: Weekly Timeframe Breakout Retest"
"SOLARINDS,13298.0: Weekly Timeframe Breakout Retest"
"PSPPROJECT,745.75: Weekly Timeframe Breakout Retest"
"LTF,194.25: Weekly Timeframe Breakout Retest"
"ABCAPITAL,246.9: Weekly Timeframe Breakout Retest"
"VADILALIND,5143.0: Weekly Timeframe Breakout Retest"
"SBFC,98.0: Weekly Timeframe Breakout Retest"
"ESTER,110.9: Weekly Timeframe Breakout Retest"
"ARE&M,915.55: Weekly Timeframe Breakout Retest"
"DCW,72.4: Weekly Timeframe Breakout Retest"
"HEXATRADEX,170.9: Weekly Timeframe Breakout Retest"
"AAVAS,1625.0: Weekly Timeframe Breakout Retest"
"HIKAL,318.35: Weekly Timeframe Breakout Retest"
"NAVINFLUOR,4724.25: Weekly Timeframe Breakout Retest"
"CREATIVE,627.0: Weekly Timeframe Breakout Retest"
"NINSYS,424.45: Weekly Timeframe Breakout Retest"
"SEAMECLTD,793.3: Weekly Timeframe Breakout Retest"
"HITECH,85.55: Weekly Timeframe Breakout Retest"
"AIAENG,2988.0: Weekly Timeframe Breakout Retest"
"CUB,205.0: Weekly Timeframe Breakout Retest"
"NESTLEIND,2105.0: Weekly Timeframe Breakout Retest"
"SALASAR,7.0: Weekly Timeframe Breakout Retest"
"JISLJALEQS,48.25: Weekly Timeframe Breakout Retest"
"RATEGAIN,418.0: Weekly Timeframe Breakout Retest"
"JITFINFRA,337.25: Weekly Timeframe Breakout Retest"
"TCS,2885.0: Weekly Timeframe Breakout Retest"
"BATAINDIA,1115.7: Weekly Timeframe Breakout Retest"
"MICEL,50.4: Weekly Timeframe Breakout Retest"
"CARERATING,1610.0: Weekly Timeframe Breakout Retest"
